com_id,year,cand_id,name,party,state,district,0,1,2,3,median,mean,individual,pac
N00005645,2016,H0TX04037,Ralph Hall ,R,TX,TX04,2500.0,0.0,0.0,0.0,-2400.0,-2400.0,-4800.0,-15000.0
N00005656,2016,H4TX06117,Joe Barton ,R,TX,TX06,1014413.0,185700.0,0.0,0.0,1000.0,1127.3017456359105,452048.0,720115.0
N00005681,2016,H2TX03126,Pete Sessions ,R,TX,TX32,1958069.0,435291.0,11270.0,0.0,1000.0,1277.4935217903414,1084592.0,1319438.0
N00005736,2016,H6TX02079,Brian Babin ,R,TX,TX36,1000616.0,76200.0,0.0,0.0,500.0,712.5725806451613,530154.0,532512.0
N00005818,2016,H4TX18054,Sheila Jackson Lee ,D,TX,TX18,345220.0,80000.0,0.0,0.0,1000.0,1366.3703703703704,184460.0,232260.0
N00005870,2016,H2TX29030,Gene Green ,D,TX,TX29,1619034.0,309143.0,26696.0,17426.0,500.0,966.1053459119496,614443.0,1399764.0
N00005883,2016,H6TX08100,Kevin Brady ,R,TX,TX08,3532557.0,1308051.0,78141.0,0.0,1000.0,1122.5254355400698,1610824.0,3278234.0
N00005918,2016,S4TX00524,Steve Stockman ,R,TX,TXS1,99.0,0.0,0.0,0.0,99.0,99.0,99.0,0.0
N00005930,2016,H6TX08167,Andre Dean ,R,TX,TX08,12140.0,0.0,0.0,0.0,415.0,534.047619047619,11215.0,925.0
N00006008,2016,H6TX15055,Ruben Hinojosa ,D,TX,TX15,150600.0,20000.0,0.0,0.0,2600.0,2441.4634146341464,100100.0,44500.0
N00006023,2016,H4TX10028,Lloyd Doggett ,D,TX,TX35,817106.0,135000.0,0.0,0.0,500.0,774.9484808454425,586636.0,338470.0
N00006052,2016,H4TX13014,Mac Thornberry ,R,TX,TX13,1554258.0,245000.0,0.0,0.0,500.0,690.3949579831932,903727.0,874331.0
N00006134,2016,H6CO01141,Diana DeGette ,D,CO,CO01,1166305.0,105000.0,0.0,0.0,500.0,736.4815321477428,538368.0,721886.0
N00006236,2016,S6WY00068,John A Barrasso ,R,WY,WYS1,698323.0,65000.0,0.0,0.0,612.5,1113.5887573964496,376393.0,369430.0
N00006249,2016,S6WY00126,Mike Enzi ,R,WY,WYS2,93200.0,5000.0,0.0,0.0,1000.0,1260.0,25200.0,70500.0
N00006263,2016,H8ID02064,Mike Simpson ,R,ID,ID02,849243.0,160000.0,0.0,0.0,500.0,780.1815384615386,253559.0,737684.0
N00006267,2016,S8ID00027,Mike Crapo ,R,ID,IDS2,4070273.0,820000.0,0.0,0.0,1000.0,1084.7290239726026,2533927.0,2349646.0
N00006397,2016,H2AZ02055,Ed Pastor ,D,AZ,AZ07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1000.0
N00006423,2016,H4AZ04024,Trent Franks ,R,AZ,AZ08,330290.0,30000.0,0.0,0.0,500.0,898.7583892617448,133915.0,221675.0
N00006424,2016,S6AZ00019,John McCain ,R,AZ,AZS1,7997938.0,3153846.0,150211.0,0.0,250.0,714.0645280235988,7746172.0,4726654.0
N00006446,2016,H4AZ01038,Matt Salmon ,R,AZ,AZ05,348571.0,60000.0,0.0,0.0,500.0,775.4032921810699,188423.0,161918.0
N00006460,2016,H4AZ06045,David Schweikert ,R,AZ,AZ06,489623.0,85000.0,0.0,60000.0,500.0,791.3455149501661,238195.0,419428.0
N00006561,2016,S8NM00184,Tom Udall ,D,NM,NMS2,731345.0,61200.0,0.0,0.0,25.0,179.5666247642992,571381.0,144000.0
N00006581,2016,S2NM00070,Greg Sowards ,R,NM,NMS1,601.0,9509.0,0.0,0.0,40000.0,37872.857142857145,265110.0,0.0
N00006671,2016,H2CA33048,Lucille Roybal-Allard ,D,CA,CA40,546589.0,120000.0,0.0,0.0,1000.0,1008.2179930795849,291375.0,362114.0
N00006690,2016,H4CA23011,Maxine Waters ,D,CA,CA43,508021.0,185000.0,0.0,0.0,100.0,801.8609865470853,178815.0,516521.0
N00006692,2016,S2CA00286,Barbara Boxer ,D,CA,CAS1,500.0,0.0,0.0,0.0,-900.0,-986.9090909090908,-10856.0,-6000.0
N00006701,2016,H2CA43245,Mark A Takano ,D,CA,CA41,1005797.0,135800.0,0.0,0.0,100.0,329.8331960461285,800835.0,325078.0
N00006770,2016,S2CA00377,Mel Levine ,D,CA,CAS1,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0
N00006789,2016,H8CA34068,Grace Napolitano ,D,CA,CA32,603472.0,179764.0,0.0,0.0,500.0,655.1209150326797,200467.0,556892.0
N00006806,2016,H8CA36097,Janice Hahn ,D,CA,CA44,4539.0,0.0,0.0,0.0,500.0,352.8571428571428,2470.0,-4961.0
