cand_id,name,party,state,donoSetOne,donoSetTwo,donoSetThree,donoSetFour,median,mean,individual,pac
H8CA12171,Jackie Speier,D,CA,746885,125000,0,0,500,906.1806569,496587,371048
H8CA41139,Rita Ramirez,D,CA,9059,0,12367,0,500,506.8,2534,18892
H8FL15107,Bill Posey,R,FL,802867,35000,0,0,500,805.0722656,412197,408320
H8KY02031,Brett Guthrie,R,KY,1513212,190000,0,0,500,713.5299685,226189,1465996
S6LA00318,John Fleming,R,LA,2845856,105135,22762,68617,500,928.1874342,2644406,2930413
S4MS00138,Travis Childers,D,MS,7395,0,0,0,1758.5,29680.625,237445,0
H8NM01299,Robert L Pidcock,D,NM,3300,0,0,0,0,0,0,3300
H8OH07099,Sharen Neuhardt,D,OH,1000,0,0,0,0,0,0,1000
H8PA05071,Glenn Thompson,R,PA,1073736,50000,0,0,300,686.2257053,656718,457600
H8WY00148,Cynthia Lummis,R,WY,77750,10000,0,0,500,884.7826087,20350,55500
